sentiment,album,sentence,length,noise,length_mod
0.10000000149011612,The College Dropout,"if it wasn't for that, i wouldn't be here.",42,0.24078725848818316,0.07734806629834254
-0.20000000298023224,The College Dropout,if i told the world i copped it from ghana and mali? .,54,-0.45191591773785267,0.09944751381215469
-0.30000001192092896,The College Dropout,"if ya iced up, pull ya sleeves out.",35,-0.44406200872935453,0.06445672191528545
-0.699999988079071,The College Dropout,"in the four dot six, bitch you can go ask.",42,0.17909636150796304,0.07734806629834254
-0.699999988079071,The College Dropout,ladies tired of gettin' ripped off by guys like this.,53,-0.5350042478254864,0.09760589318600368
-0.5,The College Dropout,later on i might charge for m�nage.,35,-0.9479870398323529,0.06445672191528545
0.10000000149011612,The College Dropout,let me help you with a plan.,28,-0.8996701448740565,0.05156537753222836
-0.30000001192092896,The College Dropout,"let them hoes fight, pull her weave out.",40,-0.6668036968162165,0.07366482504604052
-0.10000000149011612,The College Dropout,more chips than pentium.,24,-0.1036809827823777,0.04419889502762431
0.10000000149011612,The College Dropout,now even though i went to college and dropped out of school quick.,66,-0.16192807257367003,0.12154696132596685
0.20000000298023224,The College Dropout,"pullin' up in the lexuses, one on both hand.",44,0.09859295266954882,0.08103130755064457
-0.30000001192092896,The College Dropout,"push a big truck, pull ya keys out.",35,0.4378401011920998,0.06445672191528545
-0.5,The College Dropout,'cause ain't no tuition for having no ambition.,47,0.17693888303136585,0.0865561694290976
-0.800000011920929,The College Dropout,scratched repeatedly,20,-0.9840057209751591,0.03683241252302026
-0.5,The College Dropout,"she asked ""can you drive me in the hundreds where my altima was?"".",66,-0.05168930570582031,0.12154696132596685
0.6000000238418579,The College Dropout,"sing along with me y'all. . . yeah, breathe in, breathe out.",60,-0.9590023778559349,0.11049723756906077
-0.30000001192092896,The College Dropout,so i guess them gses was ambidextrous.,38,0.7272749891279353,0.06998158379373849
0.0,The College Dropout,so say my name like candyman. and i'mma come and fix you up like the handyman.,78,-0.05244267781649459,0.143646408839779
-0.4000000059604645,The College Dropout,"if a nigga act up, pull a desert e's out.",41,-0.9074329208470608,0.07550644567219153
0.0,The College Dropout,"ice chain, carti lens, and a knapsack.",38,0.10808784251965076,0.06998158379373849
-0.699999988079071,The College Dropout,"i'm tryin' to spend my stacks. and i'm so broke i look back like ""damn, was i on crack?"".",89,0.8584583018216814,0.16390423572744015
-0.10000000149011612,The College Dropout,"i mean twelve platinum chains, was i on that?.",46,0.901524845997572,0.0847145488029466
0.20000000298023224,The College Dropout,baby i fully understand.,24,0.04018062241618825,0.04419889502762431
-0.4000000059604645,The College Dropout,big faced hundreds and whatever other synonyms.,47,0.8112163016283522,0.0865561694290976
0.5,The College Dropout,"breathe in, breathe out.",24,0.8034085425009412,0.04419889502762431
-0.699999988079071,The College Dropout,"but if you don't need a fix, girl you gotta leave.",50,-0.356234411601134,0.09208103130755065
0.5,The College Dropout,but is it cool to rap about gold.,33,-0.13316082380360617,0.06077348066298342
-0.5,The College Dropout,"but now i'm rappin' 'bout money, hoes, and rims again.",54,-0.9887625970162881,0.09944751381215469
-0.5,The College Dropout,but she still want to toss me the drawers.,42,-0.44011230440890636,0.07734806629834254
-0.5,The College Dropout,coulda sworn her breasteses was sendin' me messages.,52,-0.028351466297780403,0.09576427255985268
0.5,The College Dropout,so when i go fast popo just laugh.,34,0.7473466226780188,0.06261510128913444
0.5,The College Dropout,cuz she grabbed my golf balls in the club. and i'm still actin' calm den-a-muhh.,80,-0.23049624032775773,0.14732965009208104
-0.30000001192092896,The College Dropout,girls go wild and pull ya d's out.,34,0.26700599328642105,0.06261510128913444
-0.8999999761581421,The College Dropout,"give me some head, that'll really piss him off. . . yeah, breathe in, breathe out.",82,-0.3327915625095754,0.15101289134438306
-0.8999999761581421,The College Dropout,"golly, more of that bullshit ice rap.",37,-0.21909506629880227,0.06813996316758748
0.0,The College Dropout,heard her man was the boss of the floss.,40,0.8401541602908227,0.07366482504604052
-0.800000011920929,The College Dropout,i always had a phd: a pretty huge dick.,39,0.27269508100734874,0.0718232044198895
-0.699999988079071,The College Dropout,i blow past low class niggas with no cash.,42,0.5515876182451487,0.07734806629834254
0.0,The College Dropout,i got to 'pologize to mos and kweli .,37,-0.5416275968482245,0.06813996316758748
0.0,The College Dropout,"i got weed, drink, and a handicam.",34,0.4132533960563347,0.06261510128913444
0.10000000149011612,The College Dropout,first nigga with a benz and a backpack.,39,0.06305428435941374,0.0718232044198895
-0.20000000298023224,The College Dropout,and it's still about the benjamins.,35,-0.46145812695173993,0.06445672191528545
0.0,The College Dropout,strippers named cinnamon.,25,0.4941608814117584,0.04604051565377532
-0.8999999761581421,The College Dropout,what the hell was wrong with me dog?.,37,0.36663183607078986,0.06813996316758748
0.20000000298023224,The College Dropout,ashford & simpson .,19,0.5098926791032079,0.034990791896869246
0.0,The College Dropout,bumpin' r&b - and i got the heat - on the 23's.,47,0.5358661765434887,0.0865561694290976
-0.10000000149011612,The College Dropout,but now i need you to do it faster baby.,40,0.29359430706846146,0.07366482504604052
-0.4000000059604645,The College Dropout,"can you please - do it faster, baby, do it faster. . . damn baby, i can't do it that fast but i know somebody who can, twista!. . .",131,0.3807254069059205,0.24125230202578268
0.10000000149011612,The College Dropout,come wit me and sip on some evelyn champagne.,45,-0.2674188307739065,0.08287292817679558
0.5,The College Dropout,"everything, everything .",24,0.19950970272066515,0.04419889502762431
0.20000000298023224,The College Dropout,freddie jackson.,16,-0.3855042670861224,0.029465930018416207
0.4000000059604645,The College Dropout,"fulfilling her wit every temptation, slow jam, and havin' deep sex.",67,0.5906548897294239,0.12338858195211787
0.10000000149011612,The College Dropout,got a dark-skinned friend look like michael jackson.,52,-0.7622824436666269,0.09576427255985268
0.20000000298023224,The College Dropout,got you looking at the glist on my hands and wrist.,51,0.9517137174333627,0.09392265193370165
0.0,The College Dropout,"hit the stoplight, move it to some isleys.",42,0.23690234905754526,0.07734806629834254
0.10000000149011612,The College Dropout,i can tell you ain't no messin' with kan man and twist.,55,0.08688569066606822,0.10128913443830571
-0.5,The College Dropout,"i done hit it from the back, to the melody and rode it slow.",60,0.5962425879503235,0.11049723756906077
0.800000011920929,The College Dropout,"i love the way you be holdin' me when i be listenin' to jodeci. and when i come over and bend ya ass, you be bumpin' teddy pendergrass.",135,0.8241638615395568,0.24861878453038674
0.30000001192092896,The College Dropout,"i played ready for the world, she was ready for some action.",60,0.3997988505797885,0.11049723756906077
0.5,The College Dropout,"i still spit it like it's r&b, come to the club wit me. and when some luther come on i hope you feelin' me. and still will be in love wit me. . ].",146,-0.47698195864549153,0.26887661141804786
0.30000001192092896,The College Dropout,"i told her to drive over in yo new whip, bring some friends you cool wit.",73,-0.9195337496612876,0.13443830570902393
0.0,The College Dropout,are you gonna be? .,19,0.17568362418283057,0.034990791896869246
0.6000000238418579,The College Dropout,"are you gonna be, are you gonna be, well well well well). . ]. . ].",67,0.3477128742733486,0.12338858195211787
0.30000001192092896,The College Dropout,"are you gonna be, are you gonna be, well well well well). . . smokey robinson.",78,-0.3104016471005391,0.143646408839779
0.8999999761581421,The College Dropout,"are you gonna be, are you gonna be, well well well well). . . it definitely will.",81,-0.41802962803667776,0.14917127071823205
0.0,The College Dropout,what'cha gon' buy next?,23,-0.9110017164266433,0.0423572744014733
-0.699999988079071,The College Dropout,whatever comes first i'm prepared for the worst.,48,0.7733977928508438,0.08839779005524862
0.20000000298023224,The College Dropout,whatever comes second i'll be there with my weapon.,51,-0.22290196785519423,0.09392265193370165
0.30000001192092896,The College Dropout,whatever new trend it is.,25,-0.14136495192169773,0.04604051565377532
0.30000001192092896,The College Dropout,"when i pull the piece out niggas like ""peace out!"". . .",55,0.35372360960788085,0.10128913443830571
-0.5,The College Dropout,"when i pull the piece out niggas like ""peace out!"". . . ""and you say chi city?""",79,-0.7061012301048113,0.14548802946593
-0.800000011920929,The College Dropout,"while he trickin' off, don't get no rich nigga.",47,-0.517164699607793,0.0865561694290976
-0.5,The College Dropout,while we drive she tellin' me 'bout problems with her man.,58,0.8497414453053309,0.10681399631675875
0.10000000149011612,The College Dropout,"well, i'm in the club for a limited time.",41,-0.38428147545445324,0.07550644567219153
0.4000000059604645,The College Dropout,"yeah, breathe in, breathe out.",30,0.12951802761338027,0.055248618784530384
0.20000000298023224,The College Dropout,"(are you gonna be, are you gonna be, are you gonna be.",54,0.9576389899170927,0.09944751381215469
0.20000000298023224,The College Dropout,a little anita will definitely set this party off right.,56,-0.31727391487622936,0.10313075506445672
0.8999999761581421,The College Dropout,"al green, oh!. al green, ohhhhh yeah!!!.",40,0.7214877620000912,0.07366482504604052
0.10000000149011612,The College Dropout,and i do it .,13,-0.6598408621805878,0.02394106813996317
-0.699999988079071,The College Dropout,and we don't put enough emphasis on the ladies sometime.,56,-0.6812818682015398,0.10313075506445672
0.4000000059604645,The College Dropout,"are you gonna be, are you gonna be).",36,0.21008234798554914,0.06629834254143646
0.800000011920929,The College Dropout,"are you gonna be, are you gonna be, well well well well)",56,0.9909663896593937,0.10313075506445672
0.699999988079071,The College Dropout,"are you gonna be, are you gonna be, well well well well).",57,-0.18350323049864103,0.10497237569060773
-0.4000000059604645,The College Dropout,"you can't take that all at one time ya gotta breathe. . . yeah, breathe in, breathe out.",88,0.7335657534470263,0.16206261510128914
-0.10000000149011612,The College Dropout,and it ain't gon' cost me because she my caddy.,47,0.16999284005886883,0.0865561694290976
-0.10000000149011612,The College Dropout,and givin' head is like a whale that's usin' a toothpick.,57,0.16382340753332536,0.10497237569060773
0.20000000298023224,The College Dropout,always said if i rapped i'd say somethin' significant.,54,-0.4618241216148702,0.09944751381215469
0.0,The College Dropout,"calm down, move back.",21,0.7518085549032651,0.03867403314917127
-0.4000000059604645,The College Dropout,cause i rep that 'til i fuckin' die.,36,-0.5866222045966136,0.06629834254143646
-0.8999999761581421,The College Dropout,"cause on judgment day, you gon' blame me.",41,0.44345492352993676,0.07550644567219153
-0.8999999761581421,The College Dropout,"everybody, fuck that.",21,-0.48763719755238544,0.03867403314917127
-0.4000000059604645,The College Dropout,felt like it rained 'til the roof caved in.,43,-0.15560417595972686,0.07918968692449356
0.5,The College Dropout,"free, young boss, freshman of the roc.",38,0.9391848863703534,0.06998158379373849
0.0,The College Dropout,from the bottom so the top's.,29,-0.28868112924292033,0.053406998158379376
-0.8999999761581421,The College Dropout,"fuck around, throw a clip in ya artist, leave with his broad. .",63,-0.5344638189580466,0.11602209944751381
-0.800000011920929,The College Dropout,"game 'pon lock shit, gun 'pon cock shit.",40,-0.6243998899424135,0.07366482504604052
-0.6000000238418579,The College Dropout,"game 'pon lock, gun 'pon cock.",30,-0.8632056005614444,0.055248618784530384
-0.800000011920929,The College Dropout,ghetto people get this shit off ya chest.,41,-0.213630229815438,0.07550644567219153
-0.6000000238418579,The College Dropout,"go getters rhyme like, should've been signed twice.",51,-0.15503769821787783,0.09392265193370165
-0.20000000298023224,The College Dropout,"have you screamin' out four words, ""send for the law"", uh.",58,0.3179252488130859,0.10681399631675875
-0.699999988079071,The College Dropout,"heavy traffic, one lane, everybody move.",40,-0.5283061054406635,0.07366482504604052
-0.10000000149011612,The College Dropout,"hotel accommodated, cheerleader prom-dated.",43,0.9647781948659209,0.07918968692449356
