album,count,words,album_key
The College Dropout,0.8999999761581421,"my relationship with kweli i think was one of the best ones to ever happen to my career as a rapper. because, you know, of course later he allowed me to go on tour with him.",The College Dropout
The College Dropout,0.8999999761581421,"yeah, this the real one, baby.",The College Dropout
The College Dropout,0.8999999761581421,in my grip i would never ever let you down.,The College Dropout
The College Dropout,0.8999999761581421,the prettiest people do the ugliest things.,The College Dropout
The College Dropout,0.8999999761581421,"it's good, it's all good, it's beautiful.",The College Dropout
The College Dropout,0.8999999761581421,nice as bun-b when i met him at the source awards.,The College Dropout
The College Dropout,0.8999999761581421,"you can still love your man and be manly, dog.",The College Dropout
The College Dropout,0.8999999761581421,"now, syleena, you just like a safe belt, you saved my life.",The College Dropout
The College Dropout,0.8999999761581421,"i just want to say, thank you kanye!",The College Dropout
The College Dropout,0.8999999761581421,woo.,The College Dropout
Late Registration,0.8999999761581421,"i wanna scream so loud for you, cause i'm so proud of you.",Late Registration
Late Registration,0.8999999761581421,"on a polo rugby, it looks so nice.",Late Registration
Late Registration,0.8999999761581421,"the candy gloss is immaculate, it's simply amazing.",Late Registration
Late Registration,0.8999999761581421,one of my best friends from back in the day.,Late Registration
Late Registration,0.8999999761581421,good night!,Late Registration
Late Registration,0.8999999761581421,"give me a verse of ""you are so beautiful to me"".",Late Registration
Late Registration,0.8999999761581421,yeah.,Late Registration
Late Registration,0.8999999761581421,good music's definitely in the building.,Late Registration
Late Registration,0.8999999761581421,treat me like the prince and this my sweet brother numpsay.,Late Registration
Late Registration,0.8999999761581421,"i smile, when rosie comes to see me. and i can't wait for a sunny day .",Late Registration
Graduation,0.8999999761581421,"every interview i'm representin' you, makin' you proud.",Graduation
Graduation,0.8999999761581421,"i met this girl when i was 3 years old. and what i loved most, she had so much soul.",Graduation
Graduation,0.8999999761581421,"fresh, mister, by himself he's so impressed.",Graduation
Graduation,0.8999999761581421,"everything i wanted, man it seem so serious.",Graduation
Graduation,0.8999999761581421,"awesome, the christian in christian dior.",Graduation
Graduation,0.8999999761581421,"the music plays, it's sweet delight.",Graduation
